label,category,manhattan+chi-squared_topk_pct,manhattan+emd_topk_pct,manhattan+kullback-leibler_topk_pct
BuildingNonResidential/m470_rm.obj,BuildingNonResidential,0.0,0.0,0.0
Bus/D00151_rm.obj,Bus,10.0,0.0,10.0
Bus/D00483_rm.obj,Bus,0.0,10.0,0.0
Bus/D00179_rm.obj,Bus,50.0,50.0,50.0
Bus/D00114_rm.obj,Bus,0.0,0.0,0.0
Bus/D00448_rm.obj,Bus,0.0,10.0,0.0
Bus/D00411_rm.obj,Bus,40.0,30.0,40.0
Bus/D00264_rm.obj,Bus,50.0,60.0,50.0
Bus/D00182_rm.obj,Bus,0.0,0.0,0.0
Bus/D00446_rm.obj,Bus,10.0,0.0,10.0
Bus/D00436_rm.obj,Bus,20.0,10.0,10.0
Bus/D00677_rm.obj,Bus,0.0,10.0,0.0
Bus/D00516_rm.obj,Bus,20.0,10.0,20.0
Car/D00265_rm.obj,Car,100.0,70.0,100.0
Bus/D00754_rm.obj,Bus,20.0,50.0,20.0
Car/D00168_rm.obj,Car,70.0,40.0,80.0
Bus/D00775_rm.obj,Bus,10.0,20.0,10.0
Car/D00504_rm.obj,Car,50.0,20.0,30.0
Bus/D00769_rm.obj,Bus,10.0,0.0,20.0
Bus/D00815_rm.obj,Bus,40.0,50.0,40.0
Bus/D00857_rm.obj,Bus,40.0,50.0,40.0
Car/D00377_rm.obj,Car,100.0,60.0,30.0
Bus/D00823_rm.obj,Bus,0.0,0.0,0.0
Car/D00785_rm.obj,Car,40.0,50.0,50.0
Car/D00767_rm.obj,Car,50.0,80.0,70.0
Bus/D00832_rm.obj,Bus,10.0,10.0,10.0
Car/D00618_rm.obj,Car,100.0,70.0,100.0
Car/D00236_rm.obj,Car,10.0,10.0,10.0
Car/D00724_rm.obj,Car,30.0,20.0,20.0
Car/m1485_rm.obj,Car,10.0,40.0,40.0
Car/D00405_rm.obj,Car,30.0,30.0,30.0
Car/D00299_rm.obj,Car,0.0,0.0,0.0
Car/D00541_rm.obj,Car,20.0,10.0,10.0
Car/D00671_rm.obj,Car,90.0,40.0,90.0
Car/m1489_rm.obj,Car,30.0,30.0,30.0
Car/m1492_rm.obj,Car,0.0,10.0,0.0
Car/D00452_rm.obj,Car,10.0,20.0,10.0
Car/D00865_rm.obj,Car,30.0,10.0,50.0
Car/m1497_rm.obj,Car,40.0,30.0,20.0
Car/m1500_rm.obj,Car,30.0,30.0,30.0
Car/m1487_rm.obj,Car,20.0,20.0,20.0
Car/D00670_rm.obj,Car,100.0,90.0,100.0
Car/D00976_rm.obj,Car,20.0,0.0,20.0
Car/m1486_rm.obj,Car,40.0,50.0,50.0
Car/m1488_rm.obj,Car,0.0,10.0,0.0
Car/D00260_rm.obj,Car,10.0,10.0,10.0
Car/m1505_rm.obj,Car,20.0,20.0,10.0
Car/D00793_rm.obj,Car,90.0,80.0,90.0
Car/m1509_rm.obj,Car,0.0,10.0,10.0
Car/m1502_rm.obj,Car,40.0,20.0,20.0
Car/m1496_rm.obj,Car,60.0,30.0,70.0
Car/m1510_rm.obj,Car,40.0,40.0,30.0
Car/D00803_rm.obj,Car,0.0,10.0,0.0
Car/m1515_rm.obj,Car,40.0,30.0,20.0
Car/m1513_rm.obj,Car,0.0,0.0,0.0
Car/m1514_rm.obj,Car,40.0,20.0,30.0
